21	
ID	NAME	SID	X	Y	enname
1	南雄	57996	827848.4063	2778119.8939	nanxiong
2	连州	59072	638140.8911	2743493.4751	lianzhou
3	韶关	59082	763127.9135	2730531.7812	shaoguan
4	佛冈	59087	756258.8738	2643589.6336	fogang
5	高要	59278	648572.7808	2547945.4445	gaoyao
6	广州	59287	754143.0075	2569677.0936	guangzhou
7	河源	59293	880488.6691	2637091.2382	heyuan
8	惠阳	59298	844989.9892	2554874.0832	huiyang
9	紫金	59304	926947.3502	2619888.2264	zijin
10	汕头	59316	1081363.3395	2599277.5487	shantou
11	惠来	59317	1043560.1018	2557065.5095	huilai
12	南澳	59324	1117098.8039	2604444.471	nanao
13	信宜	59456	493135.623	2471569.3991	xinyi
14	罗定	59462	561624.7571	2510434.9987	luoding
15	台山	59478	683774.097	2461582.0464	taishan
16	中山	59485	746903.6266	2490151.3466	zhongshan
17	深圳	59493	808591.5637	2494959.3577	shenzhen
18	阳江	59663	599899.7733	2414692.9196	yangjiang
19	电白	59664	498274.0809	2381175.0523	dianbai
20	上川岛	59673	682716.9461	2404354.4869	shangchuandao
21	徐闻	59754	414751.4548	2248579.7936	xuwen
