19600101	20211201		744	21
ID	NODATA_VALUE	南雄	连州	韶关	佛冈	高要	广州	河源	惠阳	紫金	汕头	惠来	南澳	信宜	罗定	台山	中山	深圳	阳江	电白	上川岛	徐闻
1	-9999	19.3	25.9	27.1	35.7	24.4	27.2	21.8	13.2	15.2	7.5	4.8	3.8	25.4	33.3	37.6	38.5	26.6	41	45.1	33.8	8
2	-9999	1.4	9	0.7	2.8	6.3	5.4	1.8	1.9	1	21.4	9.4	8.7	1.6	3.8	4.9	0.5	0.3	4.7	3	7.1	6.2
3	-9999	206.3	241.2	236	292	101.4	68.3	226.2	105	144.2	103.3	121.5	86.9	102	55.1	76.7	64.5	97.8	105.5	63.3	86.1	23.7
4	-9999	107	104.4	134.7	275	43.8	112.6	213.9	79.9	112.4	109.9	61	113.7	53.4	38.4	22.7	41.2	29.3	90.8	28.1	81.3	8.9
5	-9999	340	385.4	398.2	567.4	240.4	148.2	340.3	439	340.4	530.6	358.6	289.3	110.9	183.3	294.2	375.3	407.3	154.9	83	223.8	88
6	-9999	267	124.4	182.5	245.9	177.3	179.2	271.1	381.8	375.2	381.6	361.1	279.2	196	123.2	265.5	391.7	562.4	345.2	72.3	292	549.8
7	-9999	39.9	158	83.3	107	301	117	108.4	91	157.5	79.2	132.5	55.9	204.1	222.5	179.6	111.5	119.3	201.1	214.8	106	68.6
8	-9999	248.1	243.9	169.7	275.8	540.7	540.4	571.3	559.3	528.6	431.6	564.5	593.6	356	248.3	649.8	452.1	479.8	656.4	510.4	481.5	324.2
9	-9999	116.5	64	105.9	254	161.8	130.7	147.6	160.8	106.5	152.1	134.7	146.6	164.1	244.6	237	223.6	404.7	340.3	301	397.5	208.3
10	-9999	56.4	57.4	46.1	55.8	26.9	15.3	28.1	12.2	25.1	7.5	12	6.8	68.2	58	21	40.9	9.5	43.5	126.2	99.3	241.6
11	-9999	41.5	79.9	34.5	35.5	42.8	48.2	43.4	95.9	62	62.8	49.8	57.7	80.7	95.8	62.6	60.1	136.7	42.3	19.6	53.2	38.9
12	-9999	28.9	55.2	35.7	25.2	19.4	18.2	24.5	11.8	15	4.2	2.4	6.7	21.4	10.2	13.9	20	14.8	23.4	17.3	15.5	4.5
13	-9999	25.4	19.1	18.4	28.6	12.1	12.5	29.5	7.4	17	8.7	8.3	9.6	4.6	7.4	10	12.1	3.9	10.8	5.2	9	7.3
14	-9999	84.6	79.6	71.8	92.4	81.5	82	90.7	74.1	74.6	53.8	54.4	40.8	62.3	92.1	62.2	72.9	51.6	96.9	74.4	101.5	45.5
15	-9999	215.7	171.7	189.4	146.3	42.2	75.6	179.9	62.7	182.6	81.8	79.3	93.7	57	32.2	79.6	62.4	51.3	107.8	46.2	111.8	57.9
16	-9999	267.4	232.6	298.6	398.8	409.2	386.7	274.1	394.1	261.3	240.4	350.1	207.6	438.7	357.7	347.8	485.7	453.4	345.2	131	365.1	63.5
17	-9999	145.1	244	161.6	197.4	123.8	134.6	194.1	259.9	329.6	196.6	237.4	124.4	99.1	73.6	126.4	240.8	186.6	65.1	14.7	84	170.5
18	-9999	298.2	430	302.6	335.3	192.9	99.1	174.9	179.3	169.1	61.4	73.9	41.6	501	189.1	158.8	294.3	94.3	172.1	159.4	227.8	58.8
19	-9999	133.7	189.1	128	678.4	232.1	459.5	354.4	351.2	221.2	144.6	369.9	172	165	244.8	460.2	384.2	342.4	237.6	139.5	409.4	207.8
20	-9999	300.5	344.3	196.8	292.6	344.9	242.2	260.6	244.4	297	364.6	518.1	557.1	237.8	229.5	251.5	161.9	420.3	305.8	113.8	358.1	85.3
21	-9999	321.7	291.6	221.8	407.6	505.9	532.3	468.4	568.3	425	550.3	725.3	666.2	336.1	183.7	472	377	454.2	492.1	149.3	476.1	290.3
22	-9999	5.9	29.9	10.9	5	4.7	10.4	0.1	9.3	3.2	1.9	2.5	0.2	4.1	13.5	47	11.7	30.3	4.3	119.6	207.6	43.6
23	-9999	156.3	92.8	108.2	149.9	75.9	109.7	144.3	53.8	92.8	79.3	98.8	68.8	113.2	64	47.4	49.9	68.7	92.5	38.1	88.6	47.2
24	-9999	65.2	113.2	87.4	38	34.8	37.1	37.1	20.6	29.1	27.5	17.4	28.3	28.4	47.1	11.2	15.3	14.4	13.1	18.7	11.7	18.1
25	-9999	2.5	6.6	2.9	7.7	11.1	9.9	7.5	20.1	7	2.2	4.7	1.5	6	10.3	5.6	11.5	9	7	4.5	8	1.5
26	-9999	12.2	21.5	8.7	16.4	21.8	52.4	71.7	60.9	78.4	55.8	54.8	41.4	16.4	18.4	60.3	95.1	90	44.7	56.2	68.6	41.3
27	-9999	109.3	111	73.4	75.4	38.6	72.6	81.7	54.8	55.6	35.1	75.6	50.3	17.4	28.3	35.9	26.2	21	30.8	24.4	21.7	6.1
28	-9999	263.6	267.4	248.7	124.4	95.3	124.2	138.3	91	115.9	85.6	72.5	63.2	67.6	69.4	56.8	82.1	48.2	114.5	74.7	125.3	126.7
29	-9999	355.3	416.3	325.9	944.6	248.8	425	515.9	324.2	278.1	166.2	237.4	117	360.4	204.5	320.2	144.3	255.9	186.8	386.7	220.4	11.9
30	-9999	437.6	572.5	588.9	440.4	372.4	330	535.1	330.5	343.6	250.7	333.2	130.6	371.1	274.1	340.6	257.7	380.5	615.6	353.8	381.2	165.6
31	-9999	36.9	46.1	120.5	179.8	189.6	125.2	108.7	117	54	86.6	103.1	77.9	110.2	104.4	113.1	85.3	149.8	77.4	72.3	91.1	163.5
32	-9999	47.6	82.1	90.6	108.4	166.9	52.4	138.7	158.7	184	27.4	61.8	70.6	124.2	172.8	100.5	191.9	198.9	241.4	193.2	100.4	318.3
33	-9999	107.4	109.5	98.6	185.5	244.2	182.8	150	263.1	235.2	265.1	384	173.5	148.7	205.5	251.9	236.5	345.6	229.6	291.7	428	251.8
34	-9999	82.2	90.8	93.6	112.7	19	70.6	92.6	95.8	27	49	87.3	107	54.8	25.3	28.3	27.5	61.6	17.4	70.8	59.7	27.7
35	-9999	57.4	87.1	82.5	71.2	106.3	76.4	42	25.4	31.4	24.2	22.8	8.8	66.2	128.4	70.6	64.1	23.2	112.8	52.4	24.6	10.4
36	-9999	2.3	3.4	1.1	1.3	2.8	0.1	0.4	1.1	1.5	5.5	1.1	0.5	1.7	0.1	1.2	2.1	1.6	1.5	2	0.5	1.8
37	-9999	7.2	8.2	5.7	12.1	8.2	9.2	12.4	7.7	8.8	2.4	4.6	2.1	12	9.2	12.1	13.1	11.6	12.8	2.6	4	7.4
38	-9999	81.7	93.8	79.9	67.1	23.7	9.8	18.7	4	8.6	3.8	8	6.7	18.2	35.6	5.3	4.9	2.1	8.1	1.8	2.7	2.8
39	-9999	101.3	114.2	115.7	51.9	22.2	38.3	39	23.6	39.4	22.1	16.9	20.6	33	38.6	28.5	24.3	14.4	13.6	37.4	9.5	47.2
40	-9999	156.6	92	60.1	108.1	11.7	6.9	7.4	2.8	6.4	15.8	32.4	10.4	46.6	14.9	2.6	7.9	14.3	21.5	52.4	19.1	26
41	-9999	59.7	85	55	72.9	71.4	33.5	48.7	4.8	24.4	30.5	5.4	39.3	121.7	101.6	59.5	51.5	24.7	55.9	58.7	34.4	50
42	-9999	147.2	95.4	208.3	313.7	187.9	405.4	335.1	156.6	260.2	408.3	384.6	255.6	80.4	216	232.9	174.9	167	293.4	275	263.6	177.3
43	-9999	67	71.5	109.8	199.2	381.2	321.1	138.3	208.9	253.9	318.3	275.4	327.7	343.2	197.8	429.9	306	293.8	411	237	513.3	246
44	-9999	16.7	45.7	73.5	61.4	185.8	181.3	115.9	92.9	43.4	99.8	65.4	35.3	123.9	154.6	115.6	100.3	145.6	251.2	162.6	110.5	303.3
45	-9999	207.8	60.1	64.2	125.2	85.2	130	97.4	134.5	146.5	99.3	66	141.4	196.1	140.7	302.3	269.2	148.8	260.6	186.2	181.2	226.6
46	-9999	39.9	48.2	41.8	152.6	51.9	119.9	41.8	39	32.6	13.4	109.6	12.4	41.4	64.8	35.3	32	39.2	17.1	14.9	43.3	19.8
47	-9999	155.8	148.3	135	170.9	65.1	79.3	63.9	34.5	101.8	24.5	15.9	40	29.9	60.1	33.8	52	64.6	15.8	17.5	38.8	194.8
48	-9999	61.7	66.6	55.5	27.1	19	5.8	9.8	11.8	9.9	10.3	22.9	9.4	11.5	40.2	20.7	25.6	1.2	60.7	6.8	11.5	69.6
49	-9999	185.6	143.1	174.6	182.1	44.7	91.6	151.7	105.3	119.6	53.7	63.9	47.8	55.7	48.6	97.7	95.3	88	103.4	64.6	49.8	18.6
50	-9999	97.3	71.1	84.1	63.1	19.7	15.9	44.7	12.9	17	17.7	10.3	11.5	4.9	22.8	14.2	24.1	12.8	18.5	10.8	8.2	6.2
51	-9999	140.6	148.5	104.2	115.6	79.1	121.3	82.6	145.6	92.4	42.9	26.9	51.9	80.1	29.3	49.4	102.6	118.7	60.7	28.9	25.9	7.8
52	-9999	194.9	279.2	188	210.3	109.9	66.4	55.3	80.5	62	2.8	1.3	0.3	113	131.7	125.8	32	4.3	45	30.1	3.1	3.6
53	-9999	244.6	112.6	190.3	233.3	309.7	328.5	317.6	313.5	295.2	256.3	166.8	136.7	106.4	85.2	318.7	429.3	351.3	181.5	51.9	354.3	89.8
54	-9999	471.2	298.7	386.4	550.6	214.3	196.1	484.5	411.7	354.2	294	301.6	325.2	307.1	178.6	374.7	204.4	153.7	829.7	177.6	243.8	111.2
55	-9999	73.5	98.4	81.9	62.9	149.3	108.3	62.9	158.6	163.1	53.1	58.8	14.3	117.1	201.4	181	98.5	162.8	131.9	132.6	120.1	133.7
56	-9999	201.5	125.2	247.8	358.3	288.2	309.9	230.2	313.9	251.8	351.3	468.3	272.8	359.6	268.1	447.1	345.8	454	370.2	504.3	529.4	291.3
57	-9999	64	37.9	94.2	220.7	279.6	437.9	142.7	225	260.8	108.1	149.8	56.9	112.4	204.9	605.9	462.8	528.4	446.6	323	436.8	227.5
58	-9999	66.2	88.7	82.6	38.7	83.4	98.7	126	179.7	213.5	193.1	284.1	44.2	33.1	95.6	189.3	183.9	417.5	94.9	221	253	433.8
59	-9999	0.1	0	0	0.2	3.4	0.6	0	0.1	1	0.5	0	0.1	1.4	0.5	1.3	1.3	0.6	1.7	2.1	2.6	0.5
60	-9999	1.2	2.1	1.5	2.5	2.2	0.4	0.9	1.7	1.5	6.5	9.4	2.2	1.4	3.1	3.4	4.3	1.4	7.4	10.1	2.1	16.3
61	-9999	21	25	20.3	23.5	10.3	14.8	16.9	17.5	15.9	5.9	6	5.2	4.7	7.2	5.2	10.1	10.8	6.2	5.1	7.4	5
62	-9999	59.3	80.6	67.4	75.5	75	67.1	54.9	48.9	59.7	22.1	10.4	12.5	124.6	77.6	56.2	59.6	37.1	76.8	45.6	10.3	45.1
63	-9999	90.1	123.5	119.5	124.3	48.8	55.7	63.1	48.9	46.8	17.7	21	16.3	50	72	41.8	50.9	16.8	27.6	35.2	56.8	13.1
64	-9999	259.5	286.9	229.8	571.3	321.8	301.1	389.7	224.1	188.1	83	73.3	46.6	413.4	317.4	458.2	370.6	295.4	593.2	253	366.2	233.8
65	-9999	240.5	238.7	231.4	604.6	266.5	292.7	471.4	224.4	331.9	202.4	228.5	178.1	195.9	199	190.6	230.8	154.5	257.8	107.7	260.2	23.5
66	-9999	227.6	162.3	149.4	234.8	402.2	380.7	212.3	406.5	222.7	452.7	458.8	319.1	538.5	365.2	542.7	364.2	220.9	474.3	379.5	554.5	280.8
67	-9999	91.5	71.2	65.3	187.4	248.5	346.4	162.8	230.3	211.2	142.6	155.5	214	112.6	103.5	214.3	316.4	264.2	235.3	184.1	248.5	440.3
68	-9999	51.7	91.1	77.5	231.5	81.3	128.4	98.9	204.4	105.4	34.6	43.6	6.2	235.7	90.8	178.6	46.6	95.2	261.8	66	126	73.1
